Index,True Class,Predicted Class,Correct,Crop Area Ratio,Brain Interior Energy Fraction,Border Energy Fraction,Brain Mask Pixel Fraction
1,meningioma,meningioma,True,0.8417261904761905,0.7667527731938222,0.20481513232720128,0.7928292410714286
14,meningioma,meningioma,True,0.4692230224609375,0.6516521298536607,0.32035623871717556,0.8082150829081632
28,meningioma,notumor,False,0.8993721973094171,0.33984561292674953,0.5303592248450819,0.6720145089285714
34,meningioma,pituitary,False,0.4886512756347656,0.5904854285405366,0.3557709429972861,0.8183793048469388
45,meningioma,meningioma,True,0.376617431640625,0.6685618783272625,0.2775625175119081,0.7594666772959183
48,meningioma,meningioma,True,0.6572303771972656,0.8952870797854658,0.09718238461500019,0.8340043048469388
57,meningioma,meningioma,True,0.3754806518554687,0.5340565559855371,0.30132618840178027,0.6844108737244898
63,meningioma,meningioma,True,0.8415841584158416,0.8917532982258742,0.09445525590736793,0.7770049426020408
68,meningioma,meningioma,True,0.722991943359375,0.9034139761820751,0.043947830031268675,0.8198541135204082
69,meningioma,pituitary,False,0.6154937744140625,0.5904093855376117,0.3546235959071621,0.8158681441326531
70,meningioma,meningioma,True,0.789093017578125,0.8007521593622966,0.127471466258821,0.7784996811224489
72,meningioma,meningioma,True,0.7563018798828125,0.6882097083967863,0.2902726464464666,0.8517617984693877
77,meningioma,meningioma,True,0.4844970703125,0.9348594126382194,0.0062845814689164,0.7566366390306123
81,meningioma,meningioma,True,0.5771942138671875,0.7647230711712484,0.19730965808059275,0.7957589285714286
86,meningioma,meningioma,True,0.6170501708984375,0.9180730280483725,0.07755891018030138,0.8095105229591837
98,meningioma,meningioma,True,0.7398414611816406,0.9157345003636549,0.0757258942057527,0.8220264668367347
99,meningioma,meningioma,True,0.7002143859863281,0.7602269900621733,0.21496472358088203,0.8196747448979592
102,meningioma,meningioma,True,0.4512786865234375,0.6620888204099803,0.310007295607231,0.7932477678571429
104,meningioma,meningioma,True,0.77935791015625,0.8714180227903039,0.10651629611873889,0.8006018813775511
105,meningioma,meningioma,True,0.8534584045410156,0.814301768922086,0.16569955909881343,0.8040896045918368
108,meningioma,meningioma,True,0.5479965209960938,0.8945354769805612,0.10153371248839202,0.8482142857142857
109,meningioma,meningioma,True,0.635406494140625,0.8725230991975779,0.053862539083824455,0.7428252551020408
117,meningioma,meningioma,True,0.7177734375,0.9157809149575763,0.04851843118068309,0.8335259885204082
121,meningioma,meningioma,True,0.8062667846679688,0.6739574221233122,0.25246988127813813,0.7262834821428571
123,meningioma,meningioma,True,0.7807846069335938,0.9536649129181953,0.02162038122610414,0.7883649553571429
131,meningioma,meningioma,True,0.4709358215332031,0.8160083443431134,0.1644062193654011,0.7892418686224489
146,meningioma,pituitary,False,0.8046875,0.6665206890351708,0.31005794181084684,0.8585977359693877
147,meningioma,meningioma,True,0.68115234375,0.8797695802469294,0.10461356637096993,0.8473772321428571
148,meningioma,meningioma,True,0.6791267395019531,0.909806985619419,0.08867136086861453,0.8635204081632653
151,meningioma,pituitary,False,0.6521415710449219,0.7905773503508422,0.16520757034656114,0.7716039540816326
158,meningioma,meningioma,True,0.5285110473632812,0.9999966440930654,0.0,0.7798748405612245
160,meningioma,meningioma,True,0.7755120879120879,0.795424802624675,0.18916335406687032,0.8112643494897959
164,meningioma,meningioma,True,0.681884765625,0.6307124398732865,0.34740695270882815,0.8164461096938775
165,meningioma,meningioma,True,0.693634033203125,0.9045966953180163,0.042855588862330714,0.8393853635204082
167,meningioma,notumor,False,0.7500693481276005,0.5099356246710697,0.4214860541612779,0.8435706313775511
169,meningioma,meningioma,True,0.3413333333333333,0.8633186840852247,0.12508978848357263,0.8007613201530612
173,meningioma,meningioma,True,0.7084846496582031,0.8510359165918414,0.1316724168728871,0.8187978316326531
177,meningioma,meningioma,True,0.4961471557617187,0.5682237146872361,0.2648738421285974,0.6826570471938775
178,meningioma,meningioma,True,0.7535552978515625,0.874856761948663,0.11142513344223184,0.8342633928571429
179,meningioma,meningioma,True,0.9056603773584906,0.8698097338539093,0.11867561606260997,0.7900390625
180,meningioma,meningioma,True,0.4975967407226562,0.7725011415235706,0.20368520167728404,0.7745735012755102
181,meningioma,pituitary,False,0.79296875,0.6899104543149343,0.2890628036646989,0.8477558992346939
186,meningioma,meningioma,True,0.405120849609375,0.657392794628126,0.30538432937322224,0.7911551339285714
191,meningioma,meningioma,True,0.7524147033691406,0.812517001850981,0.13345984592564802,0.7669802295918368
193,meningioma,pituitary,False,0.7208175659179688,0.6405557832081716,0.3034892608977869,0.8000239158163265
194,meningioma,meningioma,True,0.5368232727050781,0.8450179928162567,0.13429241030941277,0.8451251594387755
195,meningioma,meningioma,True,0.7524147033691406,0.7700729636876182,0.16672278238843377,0.7649673150510204
196,meningioma,pituitary,False,0.6513290405273438,0.6150559550980295,0.3093605120648817,0.7541852678571429
201,meningioma,meningioma,True,0.468597412109375,0.7606330635880625,0.2091990547813239,0.8031728316326531
206,meningioma,pituitary,False,0.9593963623046876,0.687829055488751,0.2706799499979173,0.8110451211734694
217,meningioma,pituitary,False,0.5762481689453125,0.59268252203116,0.3764676058414686,0.8309151785714286
223,meningioma,meningioma,True,0.4405975341796875,0.7346999962735017,0.23922579208904018,0.7858139349489796
